artist,title,rating,mbid,plays,review
Amon Tobin,Out From Out Where,9,076e4121-045e-3e6e-bcac-7c85cca4462d,300,
Jethro Tull,Aqualung,TBD,204cc47e-2e1a-3877-8e1e-d14bfffd19aa,,
Monolord,Vænir,8.5,3121b8e6-e22a-4c0f-a78e-f9ff24ffe5c9,,
Misþyrming,Söngvar elds og óreiðu,Q,41758fd1-87c0-497b-91b0-6f7814d33817,,
Animals As Leaders,The Joy of Motion,9.5,51a74d4a-f21d-49de-8655-5335dafd82d2,800,
Niechęć,Niechęć,8.5,5b18a603-0859-4cda-b092-112d213d94b0,350,
Electric Wizard,Dopethrone,9.5,5ebf4f0a-61ba-3829-9d0c-0a0e5ad8897e,,
Death,Human,7,6346903b-4480-3b0f-adef-90fe0b338509,,
Converge,All We Love We Leave Behind,9,86037f34-72c6-4ad9-8072-f20bb839f78d,600,
Five Star Hotel,Gray Data,8.8,8af6b3fc-0baf-41a1-85da-8f81e3ad9d0a,,
Vektor,Terminal Redux,8.5,8c14bbdd-de87-48fa-8cc9-153c3d56583e,,
Death Grips,The Money Store,10,aa0b4e86-358e-4c92-aecd-94f5f59233f7,1000,best album ever
Jaco Pastorius,Jaco Pastorius,8,acc5bdc4-64dc-462c-bf80-5333c9172cd7,,
Oranssi Pazuzu,Värähtelijä,8,c655270f-dbe2-4c27-84aa-159b0d2af5d3,250,
Flying Lotus,Cosmogramma,9.8,ddae2c76-1433-4a9a-be05-3447bda75eee,750,space jazz
Emperor,In the Nightside Eclipse,TBD,e8170089-f81a-3103-bb22-e6f43c4fcaf9,,
Jacob's Mouse,I'm Scared,8.5,e978960e-9495-3e6c-83e1-e708a0c9a508,,
Adamski,Liveandirect,TBD,f0c0b52f-8658-3c6b-9f5b-4634041a68bb,100,
Converge,Jane Doe,10,f56e3b38-c620-32f4-9845-2e2115f5e96f,900,
